pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
TOI-2364 b,TOI-2364,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.0197517,0.04871,8.608,71.51139,0.61,0,88.98,G,5306,0.89,0.95,-0.252,1.94,05h56m31.21s,89.1300265,-05d00m43.31s,-5.0120298,219.614,12.234
TOI-2368 b,TOI-2368,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,5.1750073,0.05649,10.839,206.58846,0.88,0.061,86.61,G,5360,0.85,0.9,-0.275,2.1,08h59m49.83s,134.9576234,-48d29m18.57s,-48.4884929,210.915,12.486
TOI-237 b,TOI-237,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,5.436098,0.0341,1.44,2.67,4.91,0,89.5,M4.5 V,3212,0.21,0.18,-2.387,25.6,23h32m58.45s,353.2435381,-29d24m59.35s,-29.416487,38.0749,16.37
TOI-2373 b,TOI-2373,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,13.33668,0.112,10.424,2955.80419,14.4,0.112,89.2,G,5651,1.1,1.04,0.051,1.096,04h06m44.69s,61.6862197,-16d45m20.72s,-16.7557546,508.686,13.251
TOI-2374 b,TOI-2374,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.31361,0.0471,6.81,56.64,0.98,0.13,87.5,K,4802,0.69,0.75,-0.52,2.13889,21h17m59.58s,319.4982407,-22d02m59.36s,-22.0498228,134.655,12.095
TOI-2379 b,TOI-2379,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,5.4693827,0.05263,11.725,1830.69162,6.21,0.342,88.85,K,3707,0.62,0.65,-1.129,3.76,23h52m22.09s,358.0920465,-53d02m35.36s,-53.043156,211.247,15.548
TOI-238 b,TOI-238,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,1.273114,0.0212,1.612,3.4,6.8,0.18,85.78,K2V,5080,0.75,0.79,-0.472,2.64,23h16m55.46s,349.2310814,-18d36m23.93s,-18.6066463,80.5407,10.748
TOI-238 c,TOI-238,Radial Velocity,2024,Multiple Observatories,Multiple Telescopes,8.465651,0.0749,2.18,6.7,1.83,0.36,87.938,K2V,5059,0.73,0.79,-0.471,2.64,23h16m55.46s,349.2310814,-18d36m23.93s,-18.6066463,80.5407,10.748
TOI-2384 b,TOI-2384,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,2.13570304,0.02793,11.489,624.85065,2.26,0,88.37,K,3943,0.61,0.64,-1.119,3.91,02h24m37.48s,36.1561463,-65d00m00.70s,-65.0001957,191.51,15.103
TOI-2406 b,TOI-2406,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.0766891,0.02267,2.86,15.6,27.4,0.17,89.8,M4 V,3100,0.2,0.17,-2.462,27.7,00h35m13.45s,8.8060544,-03d22m19.50s,-3.3720833,55.419,0
TOI-2411 b,TOI-2411,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,0.7826942,0.0144,1.68,3.46,4.01,,,K,4099,0.68,0.65,-0.871,2.34203,01h23m41.39s,20.9224567,-08d42m06.46s,-8.7017944,59.5362,11.272
TOI-2416 b,TOI-2416,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,8.275479,0.0831,9.864,953.48522,5.4,0.32,90,G,5808,1.24,1.12,0.197,0.835,03h49m21.35s,57.3389409,-60d47m13.87s,-60.7871861,557.733,13.019
