pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,323.21,1.178,12.2,4914.89849,14.9,0.238,,G8 III,4874,13.76,2.09,1.978,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,516.21997,1.53,12.3,4684.8142,13.8,0.08,,K4 III,4213,29.79,2.78,2.43,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,5.013
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,186.76,0.775,13.1,1131.1513,2.76,0,,K0 III,4888,11.55,1.78,1.84,,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,1765.0389,2.774,12.6,2559.47216,7.03,0.373,144.652,K0 V,5338,0.93,0.91,-0.153,1.27393,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,798.5,1.66,13.5,565.7374,1.26,0.68,,G3 V,5750,1.13,1.08,0.097,1.01103,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215
17 Sco b,17 Sco,Radial Velocity,2020,Lick Observatory,Coude Auxiliary Telescope,578.38,1.45,12.9,1373.01872,3.51,0.06,,K3 III,4157,25.92,1.22,2.254,,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,5.22606
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,982.85,2.476,12.5,2926.24614,8.23,0.024,,G6 III,4980,8.8,2.1,1.634,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,5994.747701,330,18.647,3000,2.54,,,K7 V,4060,1.31,0.85,-0.37,0.38789,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,12.618
24 Boo b,24 Boo,Radial Velocity,2018,Okayama Astrophysical Observatory,1.88 m Telescope,30.33,0.194,13.9,280.64248,0.574,0.032,,G3 IV,4816,12.19,1.05,1.877,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59
24 Sex b,24 Sex,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,452.8,1.333,13.4,632.46,1.44,0.09,,K0 IV,5098,4.9,1.54,1.164,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535
24 Sex c,24 Sex,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,883,2.08,13.9,273.32,0.559,0.29,,K0 IV,5098,4.9,1.54,1.164,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535
2M0437 b,2MASS J04372171+2651014,Imaging,2021,Subaru Telescope,8.2 m Subaru Telescope,1281.808098,118,13,1271.31363,3.18,,,M V,3100,0.84,0.17,-1.164,3.32018,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.484,16.186
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,769.8727168,84,12.3,4131.79,12.2,,,M5.5/M6,3000,0.784570379,0.19,-1.346787486,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2,15.788
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,W. M. Keck Observatory,10 m Keck II Telescope,374.9773326,52,11.209,7786.5,30.4,,,M3.5 V,3530,0.37,0.4,-1.72,10.11868,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,14.244
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,1948.439376,156,16.141,4417.837,5.77,,,M6,3064,0.28,0.11,-2.23,17.67076,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,0
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,Mauna Kea Observatory,3.58 m Canada-France-Hawaii Telescope (CFHT),86109.66845,1950,12.4,3686.80952,10.6,,,M6 V,2859,0.32,0.05,-2.59,13.18121,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.0613,18.3
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,13680.25029,572,12.2,5720.91133,17.3,,,M,2943,0.29,0.26,-2.246,15.35385,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.435,23.31649948
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,Hubble Space Telescope,2.4 m Hubble Space Telescope,58.09475019,15,12.6,2383.6,6.55,,,M8.5,2936,0.23,0.02,-2.444,22.7811,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.423987,0
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,14221.88465,587,12.1,6356.56814,19.7,,,M,3021,0.6,0.59,-1.568,3.83213,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.862,16.957
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,407.8909168,55,12.9,1589.15,4.07,,,M8,2825,0.22,0.02,-2.561,25.27945,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,20.15
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,Kepler,0.95 m Kepler Telescope,406,0.92,13.4,603.877,1.38,0.33,,B,29564,0.2,0.48,1.45,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,12.651
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,648609.9384,7493,12.4,3813.94088,11,,,M,3592,0.67,0.64,-1.168,2.98068,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.1154,11.804
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,W. M. Keck Observatory,10 m Keck II Telescope,3488.122704,230,12.3,3972.875,11.7,,,K7 V,4045,0.64,0.6,-1.021,3.36994,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737,12.368
30 Ari B b,30 Ari B,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,335.10001,0.99,12.3,4392.4106,13,0.29,,F6 V,6331,1.41,1.93,0.381,0.743,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,7.09209
4 UMa b,4 UMa,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,270.27,0.877,12.6,2511.48007,6.9,0.453,,K1 III,4415,18.11,1.23,2.062,,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,4.5801
42 Dra b,42 Dra,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,479.1,1.19,13,1233.13,3.08,0.38,,K1.5 III,4200,22.03,0.98,2.155,,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,4.8262
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,1078,2.1,13.2,804.08,1.92,0.032,,G0 V,5872,1.21,1.06,0.198,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory,3.0 m C. Donald Shane Telescope,2391,3.6,14.2,171.621,0.329,0.098,,G1 V,5872,1.21,1.06,0.198,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352
47 UMa d,47 UMa,Radial Velocity,2009,Lick Observatory,3.0 m C. Donald Shane Telescope,14002,11.6,13.5,521.22,1.16,0.16,,G0V,5872,1.21,1.06,0.198,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory,8.19 m Gemini South Telescope,11688,13.2,13.4,635.66,1.45,0.45,133,F0 IV,7295,1.49,1.75,0.85,0.70712,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575,5.21149
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory,1.93 m Telescope,4.230785,0.0527,14.3,146.2018,0.275,0.013,80,G5V,5758,1.18,1.03,0.136,0.89374,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,5.45309
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,14.6516,0.1134,13.9,263.9785,0.54,0,89.73,K0 IV-V,5172,0.94,0.91,-0.197,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,44.3989,0.2373,8.51,54.4738,0.486,0.03,89.73,G8V,5172,0.94,0.91,-0.197,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,5574.2,5.957,13,1232.493,3.08,0.13,89.73,G8 V,5172,0.94,0.91,-0.197,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.7365474,0.01544,1.875,7.99,6.66,0.05,83.59,G8 V,5172,0.94,0.91,-0.197,1.5212,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,259.88,0.7708,7.59,44.812,0.563,0.08,89.73,G8V,5172,0.94,0.91,-0.197,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084
6 Lyn b,6 Lyn,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,919.86,2.028,13.4,597.83523,1.37,0.042,,K0 IV,4941,4.94,1.32,1.119,,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,5.87307
61 Vir b,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,4.215,0.050201,2.11,5.1,2.98,0.12,,G5 V,5577,0.96,0.94,-0.095,1.44933,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955
61 Vir c,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,38.021,0.2175,4.46,18.2,1.13,0.14,,G5 V,5577,0.96,0.94,-0.095,1.44933,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955
61 Vir d,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,123.01,0.476,5.11,22.9,0.943,0.35,,G5 V,5577,0.96,0.94,-0.095,1.44933,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955
7 CMa b,7 CMa,Radial Velocity,2011,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,735.1,1.758,13.4,587.9855,1.34,0.06,90,K1 III,4826,4.87,1.34,1.063,,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95
7 CMa c,7 CMa,Radial Velocity,2019,Multiple Observatories,Multiple Telescopes,996,2.153,13.9,276.5121,0.566,0.08,90,K1III(+M),4826,4.87,1.34,1.063,,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,116.688,0.481,12.6,2380.45,6.54,0.3988,,G5V,5495,1.89,1.09,0.451,0.19024,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,4.96808
75 Cet b,75 Cet,Radial Velocity,2012,Okayama Astrophysical Observatory,1.88 m Telescope,696.62,1.912,13.3,787.89662,1.84,0.093,,G3 III,4809,10.38,1.92,1.714,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,5.3532
75 Cet c,75 Cet,Radial Velocity,2023,Okayama Astrophysical Observatory,1.88 m Telescope,2051.62,3.929,13.9,289.85951,0.593,0.023,,G3 III,4809,10.38,1.92,1.714,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,5.3532
8 UMi b,8 UMi,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,93.4,0.49,13.6,416.3573,0.91,0.06,,K0,4847,10.3,1.44,1.725,,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,6.83295
81 Cet b,81 Cet,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,1005.57,2.104,13.1,1051.05854,2.57,0.037,,G5 III,4734,11.21,1.23,1.76,,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,5.64307
91 Aqr b,91 Aqr,Radial Velocity,2013,Lick Observatory,0.6 m Coude Auxiliary Telescope,181.4,0.7,13.1,1017,2.49,0.027,,K0 III,4665,11,1.4,1.692,,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,4.23946
AB Aur b,AB Aur,Imaging,2022,Subaru Telescope,8.2 m Subaru Telescope,909.9098961,93.9,12.5,2860.45566,8.05,0.4,42.6,A,9770,2.96,2.4,1.771,0.1033,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.127,7.076
AB Pic b,AB Pic,Imaging,2005,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,4192.374029,260,12.3,4290.5,12.7,,,K2 V,5285,1,0.9,-0.226,1.12014,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,9.13
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,8030,8.4,13.1,1017.0509,2.49,0.24,50,F8 V,6130,1.25,1.2,0.29,1.45415,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564,6.332
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,8.4629991,0.0645,3.957,20.12,1.32,0.186,89.5,M1,3665,0.82,0.5,-0.99,1.75,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,8.81
AU Mic c,AU Mic,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,18.858991,0.1101,3.24,9.6,1.22,0.00338,89.227,M1,3665,0.82,0.5,-0.99,1.75,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,8.81
AU Mic d,AU Mic,Transit Timing Variations,2023,Multiple Observatories,Multiple Telescopes,12.73596,5.453656633,1.02,1.053,5.45,0.00305,89.318,M1,3678,0.74,0.51,-1.038,1.75,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,8.81
BD+03 2562 b,BD+03 2562,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,481.9,1.3,12.7,2034.112,5.46,0.2,,K,4095,32.35,1.14,2.7,,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.63,9.577
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,268.94,0.78,13.8,330.5432,0.691,0.29,,K2 V,4864,0.86,0.49,-0.32,1.73113,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,9.78
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,153.22,0.576,13.8,337.21763,0.705,0.001,,G5,4649,8.95,1.08,1.57,,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,10.41
BD+15 2940 b,BD+15 2940,Radial Velocity,2013,McDonald Observatory,9.2 m Hobby-Eberly Telescope,137.48,0.539,13.7,352.78,0.754,0.26,,K0,4796,14.7,1.1,2.01,,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,9.01
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,379.63,1.45,12.1,6807.63,21.1,0.15,,K2 II,4137,49,2.8,3.17,,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,9.743
BD+20 2457 c,BD+20 2457,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,621.99,2.01,12.4,3963.17,11.4,0.18,,K2 II,4137,49,2.8,3.17,,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,9.743
BD+20 274 b,BD+20 274,Radial Velocity,2012,McDonald Observatory,9.2 m Hobby-Eberly Telescope,578.2,1.3,13,1334.886,3.34,0.21,,K5 III,4296,17.3,0.8,1.96,,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.51,9.367
BD+20 594 b,BD+20 594,Transit,2016,K2,0.95 m Kepler Telescope,41.6855,0.241,2.578,22.2481,7.89,0,89.55,G,5766,1.08,1.67,-0.056,1.89,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,10.849
BD+45 564 b,BD+45 564,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,307.88,0.83,13.6,432.24663,0.944,0.12,2.579,K1,5004,0.81,0.81,-0.399,2.22951,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.622,9.67
BD+48 738 b,BD+48 738,Radial Velocity,2011,McDonald Observatory,9.2 m Hobby-Eberly Telescope,392.6,1,13.9,289.2253,0.592,0.2,,K0 III,4414,11,0.74,1.69,,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,9.139
BD+48 740 b,BD+48 740,Radial Velocity,2018,Multiple Observatories,Multiple Telescopes,733,1.7,13.5,540.311,1.21,0.76,,K3 III,4534,10.33,1.09,1.64,,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.589,8.69
BD+49 828 b,BD+49 828,Radial Velocity,2015,McDonald Observatory,9.2 m Hobby-Eberly Telescope,2590,4.2,13.5,508.5,1.14,0.35,,K0,4943,7.6,1.52,1.47,,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.042,9.381
BD+55 362 b,BD+55 362,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,265.59,0.78,14,228.83645,0.458,0.27,0.601,K3,5012,0.9,0.91,-0.313,1.66486,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697,9.38
BD+60 1417 b,BD+60 1417,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0.4 m Telescope,67755.80808,1662,14.684,4767.4261,8.27,,,K0,4993,0.8,1,0.356,2.30875,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543,9.374
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,1198.48,2.06,12.4,3305.41543,9.53,0.88,5.974,K0,5000,0.8,0.82,-0.413,2.29955,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473,8.96
BD-06 1339 b,BD-06 1339,Radial Velocity,2013,La Silla Observatory,3.6 m ESO Telescope,3.8728,0.0428,2.85,8.5,2.02,0,,K7/M0 V,4324,0.69,0.7,-1.022,2.747,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,9.7
BD-06 1339 c,BD-06 1339,Radial Velocity,2013,La Silla Observatory,3.6 m ESO Telescope,125.94,0.435,8.38,53,0.495,0.31,,K7/M0 V,4324,0.69,0.7,-1.022,2.747,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,9.7
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,5.6,0.06,3.61,12.7132,1.48,0.15,,K3 V,4816,0.71,0.5,-0.626,3.31801,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,237.6,0.68,12.5,104,0.293,0.19,,K3 V,4746,0.72,0.74,-0.626,3.31801,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,W. M. Keck Observatory,10 m Keck I Telescope,3.48777,0.04,14.1,187.5197,0.368,0.02,,K0 V,5393,0.91,1.47,-0.191,1.53276,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069,10.013
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,La Silla Observatory,3.6 m ESO Telescope,1634,2.36,14.1,206.5895,0.405,0.05,,K7 V,4550,0.64,0.65,-0.804,3.53,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,10.03
BD-11 4672 c,BD-11 4672,Radial Velocity,2020,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,74.2,0.3,4.04,15.37,1.28,0.4,,K7V,4550,0.64,0.65,-0.804,3.53,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,10.03
BD-13 2130 b,BD-13 2130,Radial Velocity,2007,La Silla Observatory,1.2 m Leonhard Euler Telescope,714.29999,1.66,12.5,3108.3774,8.75,0.21,,G5 IV/V,4545,19.17,2.12,2.043,,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.214,10.038
BD-14 3065 b,BD-14 3065 A,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.2889731,0.0656,21.59,3932,2.15,0.066,80.78,F,6935,2.35,1.41,1.06,0.223,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.423,11.1
BD-17 63 b,BD-17 63,Radial Velocity,2008,La Silla Observatory,3.6 m ESO Telescope,655.57,1.34,12.8,1639.99458,4.3,0.5439,80,K5 V,4714,0.74,0.74,-0.678,2.75844,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603,9.62
BD-210397 b,BD-210397,Radial Velocity,2023,La Silla Observatory,3.6 m ESO Telescope,1891,2.63,14,214,0.429,0.1,,K7 V,4051,0.75,0.68,-0.87,2.23897,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324,9.84
BD-210397 c,BD-210397,Radial Velocity,2023,La Silla Observatory,3.6 m ESO Telescope,6240,5.9,12.9,1525.57635,3.91,0.43,33,K7 V,4051,0.75,0.69,-0.87,2.23897,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324,9.84
CD Cet b,CD Cet,Radial Velocity,2020,Calar Alto Observatory,3.5 m telescope,2.2907,0.0185,1.82,3.95,3.6,,87.48,M5.0 V,3130,0.17,0.16,-2.533,30.35878,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.60715,13.95
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011,W. M. Keck Observatory,10 m Keck II Telescope,10037.5,2.6,12.4,3337.1,9.62,,,M,580.5,20.95414615,0.02,-1.346787486,,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,23.1,15.18623762
CHXR 73 b,CHXR 73,Imaging,2006,Hubble Space Telescope,2.4 m Hubble Space Telescope,3043.189117,210,12.3,3994.486,11.8,,,M3.5,3099,0.735243619,0.35,-1.346787486,,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.374,0
CI Tau c,CI Tau,Radial Velocity,2024,Multiple Observatories,Multiple Telescopes,25.2,0.17,13,1144.18227,2.86,0.58,,K7,3807,1.88,0.9,-0.255,,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,157.998,13.642
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,NASA Infrared Telescope Facility (IRTF),3.2 m telescope,402000000,7506,12.442,2002.31896,5.71,,,M3 V,3406,0.39,0.37,-1.732,9.13895,07h49m12.22s,117.300914,-76d42m09.71s,-76.702696,10.8864,11.298
CT Cha b,CT Cha,Imaging,2007,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,9229.517864,440,24.66,5403,1.98,,,K5e,4403,1.68,0.62,-0.102,,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.72,12.335
CoRoT-1 b,CoRoT-1,Transit,2008,CoRoT,0.27 m CoRoT Telescope,1.5089557,0.02752,16.7,327.35,0.38,0,85.1,G0 V,5950,1.11,0.95,0.298,0.93,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,13.623
CoRoT-10 b,CoRoT-10,Transit,2010,CoRoT,0.27 m CoRoT Telescope,13.2406,0.1055,10.87,874,3.7,0.53,88.55,K1 V,5075,0.79,0.89,-0.726,3.32,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,15.293
CoRoT-11 b,CoRoT-11,Transit,2010,CoRoT,0.27 m CoRoT Telescope,2.99433,0.0436,16.03,740.51,0.99,0,83.17,F6 V,6440,1.37,1.27,0.378,0.69,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,12.897
CoRoT-12 b,CoRoT-12,Transit,2010,CoRoT,0.27 m CoRoT Telescope,2.828042,0.04016,16.14,291.438,0.411,0.07,85.48,G,5675,1.12,1.08,0.07,1.08,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,15.588
CoRoT-13 b,CoRoT-13,Transit,2010,CoRoT,0.27 m CoRoT Telescope,4.03519,0.051,9.92,415.704,2.34,0,88.02,G0 V,5945,1.01,1.09,0.073,1.468,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,15.005
CoRoT-14 b,CoRoT-14,Transit,2010,CoRoT,0.27 m CoRoT Telescope,1.51214,0.027,12.22,2415.4,7.3,0,79.6,F9 V,6035,1.21,1.13,0.119,0.91,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6,15.932
CoRoT-16 b,CoRoT-16,Transit,2011,CoRoT,0.27 m CoRoT Telescope,5.35227,0.0618,13.11,170.032,0.44,0.33,85.01,G5 V,5650,1.19,1.1,-0.435,0.93,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.409,16.052
CoRoT-17 b,CoRoT-17,Transit,2011,CoRoT,0.27 m CoRoT Telescope,3.7681,0.0461,11.43,772.29,2.82,0,88.34,G2 V,5740,1.59,1.04,0.134,0.32,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,1176.12,16.29
CoRoT-18 b,CoRoT-18,Transit,2011,CoRoT,0.27 m CoRoT Telescope,1.9000693,0.0295,14.68,1102.82,2.2,0.08,86.5,G9 V,5440,1,0.95,-0.17,1.35,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.889,14.868
CoRoT-19 b,CoRoT-19,Transit,2011,CoRoT,0.27 m CoRoT Telescope,3.89713,0.0518,14.46,352.78,0.71,0.047,88,F9 V,6090,1.65,1.21,0.544,0.38,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.663,14.135
